"task_id","phase","value"
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","phase_sync_rows_sec",0.227000000000004
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","phase_system_cache_sec",0.0129999999999981
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","phase_fold_component_cache_sec",1.139
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","phase_full_component_cache_sec",0.179000000000002
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","phase_lambda_search_sec",2.761
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","phase_final_solve_sec",0.116999999999997
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","evaluated_lambda_count",6
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","unique_lambda_count",6
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","boundary_expansion_count",0
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","total.elapsed.sec",2.631
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","phase_frames_sec",0.229000000000001
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","phase_sync_rows_sec",0.151
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","phase_system_cache_sec",0.00799999999999912
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","phase_fold_component_cache_sec",0.341000000000001
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","phase_full_component_cache_sec",0.125
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","phase_lambda_search_sec",1.668
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","phase_final_solve_sec",0.0750000000000011
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","evaluated_lambda_count",6
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","unique_lambda_count",6
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","boundary_expansion_count",0
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","total.elapsed.sec",3.583
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","phase_frames_sec",0.199999999999999
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","phase_sync_rows_sec",0.190000000000001
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","phase_system_cache_sec",0.0259999999999998
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","phase_fold_component_cache_sec",0.809000000000001
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","phase_full_component_cache_sec",0.108999999999998
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","phase_lambda_search_sec",2.125
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","phase_final_solve_sec",0.0570000000000022
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","evaluated_lambda_count",6
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","unique_lambda_count",6
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","boundary_expansion_count",0
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","total.elapsed.sec",4.645
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","phase_frames_sec",0.403000000000006
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","phase_sync_rows_sec",0.137
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","phase_system_cache_sec",0.0549999999999926
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","phase_fold_component_cache_sec",0.784000000000006
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","phase_full_component_cache_sec",0.102999999999994
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","phase_lambda_search_sec",2.348
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","phase_final_solve_sec",0.0300000000000011
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","evaluated_lambda_count",6
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","unique_lambda_count",6
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","boundary_expansion_count",0
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","total.elapsed.sec",5.281
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","phase_frames_sec",0.228000000000002
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","phase_sync_rows_sec",0.122
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","phase_system_cache_sec",0.0110000000000028
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","phase_fold_component_cache_sec",1.086
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","phase_full_component_cache_sec",0.225000000000001
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","phase_lambda_search_sec",2.702
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","phase_final_solve_sec",0.0480000000000018
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","evaluated_lambda_count",6
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","unique_lambda_count",6
