"batch_id","dataset_id","method","lambda.sync","lambda.ridge","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","ridge.median","ridge.max"
"FB12","SYN-TWO-PLANES-N600","PS-LPS auto",0.1,1e-08,0.10992980530977,5.88361303737192,6.97826906206325,0.000406516897777041,5.00417665663633e-07,5.00417665663633e-07
"FB12","SYN-TWO-PLANES-N600","PS-LPS auto",1,1e-08,0.107974523090759,6.0319759330906,1.86040778210164,0.000108377477774784,2.3737679246715e-06,2.3737679246715e-06
"FB12","SYN-TWO-PLANES-N600","PS-LPS local.auto",0,1e-08,0.111669618557884,6.07029412378729,9.76986885616494,0.000569140677118348,2.75615688396001e-07,2.97596783332775e-07
"FB12","SYN-TWO-PLANES-N600","PS-LPS local.auto",0.1,1e-08,0.110323326745232,6.08464513466778,6.23030490136823,0.000362944477804423,5.00417665663633e-07,5.00417665663633e-07
"FB12","SYN-TWO-PLANES-N600","PS-LPS local.auto",1,1e-08,0.108380356554144,6.2407313126426,1.56583534419115,9.12172518555811e-05,2.3737679246715e-06,2.3737679246715e-06
"FB13","SYN-SIMPLEX-FACES-N600","ridge-LPS auto",0,1e-08,0.329722898686512,9.61651659607617,15.1289939094279,0.00168179074925758,5.42825623037268e-08,1.6e-07
"FB13","SYN-SIMPLEX-FACES-N600","ridge-LPS local.auto",0,1e-08,0.165320436389719,6.57193312721016,13.2206225101714,0.000666362022220068,2.44866563077979e-07,3.26080118066303e-07
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS auto",0,1e-08,0.329722898686512,9.61651659607617,15.1289939094279,0.00168179074925758,5.42825623037268e-08,1.6e-07
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS auto",0.1,1e-08,0.151750946366757,10.3393942481278,2.35919784876965,0.000262256508362836,6.77560399406092e-07,6.77560399406092e-07
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS auto",1,1e-08,0.121411196986177,11.6164682825505,0.427090870421991,4.74768830808019e-05,5.33560399406082e-06,5.33560399406082e-06
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS local.auto",0,1e-08,0.165320436389719,6.57193312721016,13.2206225101714,0.000666362022220068,2.44866563077979e-07,3.26080118066303e-07
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS local.auto",0.1,1e-08,0.112442309327175,6.67271789563131,7.67671394869221,0.000386931146919892,1.41408011754611e-06,1.41408011754611e-06
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS local.auto",1,1e-08,0.104778577858036,7.0539903997367,1.79615710274253,9.05321121064921e-05,1.12060801128643e-05,1.12060801128643e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","ridge-LPS auto",0,1e-08,5.43282842812465,20.5094667585069,40.9584382333888,0.00238185847173202,2.45063945924963e-07,1.27894463361577e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","ridge-LPS local.auto",0,1e-08,4.9210872349451,17.1642672130261,46.2220888625752,0.00268795585688927,2.45063945924963e-07,1.27894463361577e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS auto",0,1e-08,5.43282842812465,20.5094667585069,40.9584382333888,0.00238185847173202,2.45063945924963e-07,1.27894463361577e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS auto",0.1,1e-08,0.388921054369735,24.986122419691,22.1683795607526,0.00128915908268948,1.59172193697014e-05,1.59172193697014e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS auto",1,1e-08,0.264392797536688,36.6563535416921,5.67390454973574,0.000329954905569863,4.40671766715945e-05,4.40671766715945e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS local.auto",0,1e-08,4.9210872349451,17.1642672130261,46.2220888625752,0.00268795585688927,2.45063945924963e-07,1.27894463361577e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS local.auto",0.1,1e-08,0.170182351734213,21.160216182471,25.1847966110831,0.00146457296113541,1.59172193697014e-05,1.59172193697014e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS local.auto",1,1e-08,0.141815587802264,32.1951411170099,6.3835104967209,0.000371220662012701,4.40671766715945e-05,4.40671766715945e-05
