"batch_id","dataset_id","chart_dim_rule","lambda_ridge","lambda_sync","status","error","support_size","degree","kernel","chart_dim_summary","cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv","sync_energy","mean_sync_squared_disagreement","ridge_median","ridge_max","elapsed_sec","selected_by_cv","requested_zero_ridge_fallback"
"FB09","LA-13K-SUB-N500","local.auto",1e-10,10,"ok",,15,2,"gaussian",3,0.572717662867111,0.0817373423357118,0.0485817013769574,23.5570577988412,0.251422751926551,4.27262728394409e-05,1.26093648246077e-07,1.26093648246077e-07,2.75099999999998,TRUE,FALSE
"FB09","LA-13K-SUB-N500","local.auto",1e-08,10,"ok",,15,2,"gaussian",3,0.136958215477647,0.0839727529116826,0.0458260897323228,24.8122613741241,0.21569312155618,3.66544518767032e-05,1.26093648246077e-05,1.26093648246077e-05,2.63499999999999,TRUE,FALSE
"FB09","LA-13K-SUB-N500","local.auto",1e-06,10,"ok",,15,2,"gaussian",3,0.11244380803352,0.0897222030359166,0.0387306539516917,27.927863679755,0.154113369643893,2.61897136562017e-05,0.00126093648246077,0.00126093648246077,2.48199999999997,TRUE,FALSE
"FB10","SYN-PARA-LINE-N500","auto",0,10,"ok",,35,2,"gaussian",2,0.106423541252394,0.0966550322846225,0.0266099237565356,5.53256254024936,0.140692033694778,9.79238098451969e-06,3.42437962929269e-05,3.42437962929269e-05,10.1600000000001,TRUE,TRUE
"FB10","SYN-PARA-LINE-N500","auto",1e-10,10,"ok",,35,2,"gaussian",2,0.106441330711868,0.0966520789111509,0.0266606743399821,5.52952319373941,0.142313062102199,9.9052070439299e-06,2.29806226826573e-07,2.29806226826573e-07,11.5029999999999,TRUE,FALSE
"FB10","SYN-PARA-LINE-N500","auto",1e-08,10,"ok",,35,2,"gaussian",2,0.106428330449132,0.0966538645532461,0.0266245262535078,5.53171319736384,0.140975344624799,9.81209985907844e-06,2.29806226826573e-05,2.29806226826573e-05,11.5540000000001,TRUE,FALSE
"FB10","SYN-PARA-LINE-N500","auto",1e-06,10,"ok",,35,2,"gaussian",2,0.105951444192437,0.0967165424741892,0.0257175705249342,5.56790752472088,0.131408572085678,9.14623784091649e-06,0.00229806226826573,0.00229806226826573,11.501,TRUE,FALSE
"FB10","SYN-PARA-LINE-N500","local.auto",0,10,"ok",,32,2,"gaussian",2,0.106759908510184,0.0961415627006933,0.0267819541106601,5.67850568305543,0.123936309591289,9.49448881054367e-06,0,0,9.76400000000012,TRUE,FALSE
"FB10","SYN-PARA-LINE-N500","local.auto",1e-10,10,"ok",,32,2,"gaussian",2,0.106757647782741,0.0961430750180206,0.0267813566071216,5.68198424349556,0.123383487281259,9.45213830604572e-06,2.06571177067911e-07,2.06571177067911e-07,9.33400000000006,TRUE,FALSE
"FB10","SYN-PARA-LINE-N500","local.auto",1e-08,10,"ok",,32,2,"gaussian",2,0.106756488658427,0.0961679952367859,0.0267886030872712,5.7024908812445,0.120238014740419,9.21117055461467e-06,2.06571177067911e-05,2.06571177067911e-05,9.28199999999993,TRUE,FALSE
"FB10","SYN-PARA-LINE-N500","local.auto",1e-06,10,"ok",,32,2,"gaussian",2,0.106155458176406,0.09627009731821,0.0262805469666298,5.7450908414813,0.111456730249316,8.53845561241634e-06,0.00206571177067911,0.00206571177067911,9.88699999999994,TRUE,FALSE
"FB11","SYN-SADDLE-LINE-N500","auto",0,10,"ok",,32,2,"gaussian",2,0.103325843246723,0.0943440256367463,0.0297455117191679,5.64373272182933,0.190909841100362,1.44344352979955e-05,0,0,9.84500000000003,TRUE,FALSE
"FB11","SYN-SADDLE-LINE-N500","auto",1e-10,10,"ok",,32,2,"gaussian",2,0.10332577741388,0.0943442105213793,0.0297451679498214,5.64374924472023,0.190892410597038,1.44331174011757e-05,2.17791664199155e-07,2.17791664199155e-07,9.14699999999993,TRUE,FALSE
"FB11","SYN-SADDLE-LINE-N500","auto",1e-08,10,"ok",,32,2,"gaussian",2,0.103320631587816,0.0943601099459229,0.0297136870197334,5.64529175133099,0.18941433900348,1.43213624038427e-05,2.17791664199155e-05,2.17791664199155e-05,9.875,TRUE,FALSE
"FB11","SYN-SADDLE-LINE-N500","auto",1e-06,10,"ok",,32,2,"gaussian",2,0.10301213396098,0.0947505822299376,0.0283305481932116,5.6987738949268,0.16544813972884,1.25093104385027e-05,0.00217791664199155,0.00217791664199155,9.904,TRUE,FALSE
"FB11","SYN-SADDLE-LINE-N500","local.auto",0,10,"ok",,32,2,"gaussian",2,0.103300751923181,0.0943297951571322,0.0297640336305214,5.63753813702246,0.190099337854399,1.43731542419994e-05,0,0,9.9369999999999,TRUE,FALSE
"FB11","SYN-SADDLE-LINE-N500","local.auto",1e-10,10,"ok",,32,2,"gaussian",2,0.103300707815903,0.0943299974326862,0.0297636563642221,5.63755031262825,0.190086467361884,1.43721811214395e-05,2.17791664199155e-07,2.17791664199155e-07,9.96399999999994,TRUE,FALSE
"FB11","SYN-SADDLE-LINE-N500","local.auto",1e-08,10,"ok",,32,2,"gaussian",2,0.10329739349808,0.0943474393284998,0.0297293250330166,5.63871306784873,0.188946384499399,1.42859809956731e-05,2.17791664199155e-05,2.17791664199155e-05,9.36999999999989,TRUE,FALSE
"FB11","SYN-SADDLE-LINE-N500","local.auto",1e-06,10,"ok",,32,2,"gaussian",2,0.10300249885651,0.094747293873831,0.0283315272324518,5.68990368358,0.165441513668796,1.250880945105e-05,0.00217791664199155,0.00217791664199155,10.0350000000001,TRUE,FALSE
"FB12","SYN-TWO-PLANES-N600","auto",0,10,"ok",,35,2,"gaussian",2,0.106131015408227,0.0950394164137812,0.027601746095802,6.38180672674979,0.364201638706602,2.12164533948979e-05,0,0,14.7730000000001,TRUE,FALSE
"FB12","SYN-TWO-PLANES-N600","auto",1e-10,10,"ok",,35,2,"gaussian",2,0.106130972247686,0.0950394273223956,0.0276017163381272,6.381807838883,0.364200302590937,2.12163755598946e-05,2.11837679113588e-07,2.11837679113588e-07,14.752,TRUE,FALSE
"FB12","SYN-TWO-PLANES-N600","auto",1e-08,10,"ok",,35,2,"gaussian",2,0.106126709607939,0.0950405072970348,0.027598776082224,6.38191799670143,0.36406828464054,2.12086848951798e-05,2.11837679113588e-05,2.11837679113588e-05,15.02,TRUE,FALSE
"FB12","SYN-TWO-PLANES-N600","auto",1e-06,10,"ok",,35,2,"gaussian",2,0.10578007933212,0.0951482087036191,0.0273554532000432,6.39336034918654,0.353070784294084,2.05680289267179e-05,0.00211837679113588,0.00211837679113588,14.896,TRUE,FALSE
"FB12","SYN-TWO-PLANES-N600","local.auto",0,10,"ok",,35,2,"gaussian",2,0.106097231903653,0.0941379095592472,0.0281556193221692,6.60073628274061,0.233684985875692,1.36132463036859e-05,0,0,15.2529999999999,TRUE,FALSE
"FB12","SYN-TWO-PLANES-N600","local.auto",1e-10,10,"ok",,35,2,"gaussian",2,0.106097168593078,0.0941379283315778,0.0281555050656969,6.60074209431069,0.233679662084654,1.36129361678917e-05,2.11837679113588e-07,2.11837679113588e-07,15.414,TRUE,FALSE
"FB12","SYN-TWO-PLANES-N600","local.auto",1e-08,10,"ok",,35,2,"gaussian",2,0.106090925104491,0.0941397849260411,0.0281442520944915,6.60131740928217,0.233157568609787,1.35825217745995e-05,2.11837679113588e-05,2.11837679113588e-05,15.2180000000001,TRUE,FALSE
"FB12","SYN-TWO-PLANES-N600","local.auto",1e-06,10,"ok",,35,2,"gaussian",2,0.105626165557121,0.0943104232960242,0.0273704804229716,6.65284640896212,0.204848625889901,1.19333931050848e-05,0.00211837679113588,0.00211837679113588,15.259,TRUE,FALSE
"FB13","SYN-SIMPLEX-FACES-N600","auto",0,10,"ok",,16,2,"tricube",3,0.110904912582368,0.0833883959978968,0.0441158492742164,13.6180015500036,0.041174662322909,4.57711640397452e-06,7.73609279701238e-05,7.73609279701238e-05,4.73099999999999,TRUE,TRUE
"FB13","SYN-SIMPLEX-FACES-N600","auto",1e-10,10,"ok",,16,2,"tricube",3,0.139825370847731,0.0757675958472515,0.0546722633412265,11.93029165384,0.0620353406730737,6.89606081512151e-06,5.19160399406083e-07,5.19160399406083e-07,5.04999999999995,TRUE,FALSE
"FB13","SYN-SIMPLEX-FACES-N600","auto",1e-08,10,"ok",,16,2,"tricube",3,0.111727702882795,0.0826843081770667,0.0452624988924915,13.4575359147161,0.0427141797231958,4.74825442793194e-06,5.19160399406083e-05,5.19160399406083e-05,5.09999999999991,TRUE,FALSE
