"point","truth","y","fit_auto","fit_local_auto","error_auto","error_local_auto","abs_error_auto","abs_error_local_auto","squared_error_auto","squared_error_local_auto","rmse_component","mse_component","local_dim","auto_dim","dim_deviation","region","PC1","PC2","helps_local_auto","component_abs_rank","component_signed_rank"
415,-0.429175427639915,-0.479984049253743,-0.40769941494951,-0.410069447642504,0.0214760126904047,0.019105979997411,0.0214760126904047,0.019105979997411,0.000461219121078425,0.000365038471661469,-2.00708427364502e-06,-1.92361298833912e-07,2,2,0,"Li",-0.806910489296726,-1.70262459815813,TRUE,262,399
416,0.0399597652122351,0.0923218242620368,0.00207119214476015,0.00238753217774678,-0.037888573067475,-0.0375722330344883,0.037888573067475,0.0375722330344883,0.00143554396908939,0.0014116726951979,-4.98142388411051e-07,-4.7742547782986e-08,2,2,0,"Li",-0.924407679092099,-0.182518263933628,TRUE,364,345
417,-0.389209603644409,-0.287434180990612,-0.358464846764636,-0.361103797516645,0.0307447568797733,0.0281058061277648,0.0307447568797733,0.0281058061277648,0.000945240075596367,0.000789936338091499,-3.24085656599198e-06,-3.10607475009737e-07,2,2,0,"Li",-0.802020118563661,-1.59549423666975,TRUE,210,422
418,-0.277506180234851,-0.302622639043649,-0.244699539396096,-0.241725662846461,0.0328066408387551,0.0357805173883903,0.0328066408387551,0.0357805173883903,0.00107627568312307,0.0012802454245809,4.25641189637546e-06,4.07939482915659e-07,2,2,0,"Li",-0.839898347216351,-1.26455176504255,FALSE,180,117
419,-0.431239198387745,-0.574238543126606,-0.403465901075089,-0.403175909377516,0.0277732973126554,0.0280632890102289,0.0277732973126554,0.0280632890102289,0.000771356043617153,0.000787548190071635,3.37895436372652e-07,3.23842929089637e-08,2,2,0,"Li",-0.806944027286917,-1.70855047909631,FALSE,400,233
420,0.139926995995037,0.310839099205125,0.213363123304494,0.213363470121548,0.0734361273094576,0.0734364741265113,0.0734361273094576,0.0734364741265113,0.00539286479421086,0.00539291573213376,1.06296541558559e-09,1.01875845794075e-10,2,2,0,"Lc",1.92842937913718,0.214456209302529,FALSE,499,267
421,-0.428399934164013,-0.284892976932851,-0.412203510258375,-0.406792792292883,0.0161964239056382,0.0216071418711304,0.0161964239056382,0.0216071418711304,0.000262324147331128,0.000466868579839156,4.26840446843699e-06,4.09088865016055e-07,2,2,0,"Li",-0.806251873599677,-1.70100962599219,FALSE,179,116
422,0.0940209206951362,0.0229838061101482,0.0818625101727561,0.0814307013095124,-0.0121584105223802,-0.0125902193856239,0.0121584105223802,0.0125902193856239,0.000147826946430725,0.000158513624178139,2.23008089198521e-07,2.13733554948294e-08,2,2,0,"Gv",-1.05524576311711,1.52648854401523,FALSE,416,241
423,0.217173554440719,0.21066679707516,0.182533493821507,0.196160039293874,-0.0346400606192121,-0.0210135151468447,0.0346400606192121,0.0210135151468447,0.00119993379970269,0.000441567818826673,-1.58254746990229e-05,-1.51673196175203e-06,1,2,-1,"Lc",1.81201403874341,0.108156630113813,TRUE,66,484
424,-0.249635701187525,-0.425582574724118,-0.267931679399668,-0.267299289453847,-0.018295978212143,-0.0176635882663222,0.018295978212143,0.0176635882663222,0.000334742818739212,0.000312002350442157,-4.74544896203367e-07,-4.54809365941098e-08,2,2,0,"Li",-0.49882006175402,-1.4614684396839,TRUE,366,343
